,rho,ne,v_phi,Te,E_rho
0,0.0,0.21328081,0.0,1e-06,-0.0
1,5e-06,0.21329886,-4.4994601e-10,1.00006e-06,1.0720000000134975e-06
2,1e-05,0.21335319,-3.5982727e-09,1.0002399e-06,3.0499999999888997e-06
3,1.5e-05,0.2134438,-1.213689e-08,1.0005394e-06,5.013999999998222e-06
4,2e-05,0.21357068,-2.8744794e-08,1.0009582e-06,6.982000000000874e-06
5,2.5e-05,0.2137338,-5.608168e-08,1.0014955e-06,8.946000000010197e-06
6,3e-05,0.21393313,-9.6781637e-08,1.0021507e-06,1.0912000000005599e-05
7,3.5e-05,0.21416865,-1.5344695e-07,1.0029228e-06,1.2875999999993752e-05
8,4e-05,0.21444032,-2.2864204e-07,1.0038107e-06,1.4840000000003044e-05
9,4.5e-05,0.21474808,-3.2488756e-07,1.0048131e-06,1.6801999999983953e-05
10,5e-05,0.21509188,-4.4465469e-07,1.0059287e-06,1.876199999999994e-05
11,5.5e-05,0.21547168,-5.9035961e-07,1.0071557e-06,2.072200000001593e-05
12,6e-05,0.2158874,-7.6435821e-07,1.0084927e-06,2.2681999999989565e-05
13,6.5e-05,0.21633898,-9.6894106e-07,1.0099375e-06,2.463800000001225e-05
14,7e-05,0.21682633,-1.2063287e-06,1.0114883e-06,2.659399999999252e-05
15,7.5e-05,0.21734939,-1.4786669e-06,1.0131429e-06,2.854600000000066e-05
16,8e-05,0.21790805,-1.7880229e-06,1.014899e-06,3.049800000000872e-05
17,8.5e-05,0.21850224,-2.1363811e-06,1.0167542e-06,3.244799999998851e-05
18,9e-05,0.21913184,-2.5256396e-06,1.0187061e-06,3.4393999999996066e-05
19,9.5e-05,0.21979675,-2.9576072e-06,1.0207519e-06,3.6337999999996365e-05
20,0.0001,0.22049687,-3.4340002e-06,1.0228889e-06,3.828200000001784e-05
21,0.000105,0.22123208,-3.9564397e-06,1.0251144e-06,4.021999999999638e-05
22,0.00011,0.22200225,-4.5264499e-06,1.0274254e-06,4.215799999999609e-05
23,0.000115,0.22280726,-5.1454557e-06,1.0298189e-06,4.4092000000002464e-05
24,0.00012,0.22364698,-5.8147813e-06,1.0322917e-06,4.602199999999433e-05
25,0.000125,0.22452125,-6.5356492e-06,1.0348409e-06,4.794799999999286e-05
26,0.00013,0.22542995,-7.3091788e-06,1.037463e-06,4.987599999999878e-05
27,0.000135,0.22637292,-8.1363864e-06,1.040155e-06,5.179400000001037e-05
28,0.00014,0.22735001,-9.0181846e-06,1.0429134e-06,5.371200000000134e-05
29,0.000145,0.22836105,-9.9553826e-06,1.0457349e-06,5.562800000000565e-05
30,0.00015,0.22940588,-1.0948686e-05,1.048616e-06,5.7536000000002723e-05
31,0.000155,0.23048432,-1.1998699e-05,1.0515535e-06,5.9441999999991914e-05
32,0.00016,0.23159621,-1.3105923e-05,1.0545437e-06,6.134399999998809e-05
