radius	number_density	azimuthal_velocity	temperature	radial_electric_field
0.0	0.21328081	0.0	1e-06	0.0
5e-06	0.21329886	-4.4994601e-10	1.00006e-06	3.9335614698192535e-06
1e-05	0.21335319	-3.5982727e-09	1.0002399e-06	5.90007055472888e-06
1.5e-05	0.2134438	-1.213689e-08	1.0005394e-06	7.866217139638507e-06
2e-05	0.21357068	-2.8744794e-08	1.0009582e-06	9.831865224548132e-06
2.5e-05	0.2137338	-5.608168e-08	1.0014955e-06	1.1796878949457759e-05
3e-05	0.21393313	-9.6781637e-08	1.0021507e-06	1.3761122577700718e-05
3.5e-05	0.21416865	-1.5344695e-07	1.0029228e-06	1.5724460443562724e-05
4e-05	0.21444032	-2.2864204e-07	1.0038107e-06	1.7686757057936637e-05
4.5e-05	0.21474808	-3.2488756e-07	1.0048131e-06	1.9647877199096262e-05
5e-05	0.21509188	-4.4465469e-07	1.0059287e-06	2.160768584900589e-05
5.5e-05	0.21547168	-5.9035961e-07	1.0071557e-06	2.356604814164279e-05
6e-05	0.2158874	-7.6435821e-07	1.0084927e-06	2.5522829566325146e-05
6.5e-05	0.21633898	-9.6894106e-07	1.0099375e-06	2.7477895854119384e-05
7e-05	0.21682633	-1.2063287e-06	1.0114883e-06	2.9431113127215823e-05
7.5e-05	0.21734939	-1.4786669e-06	1.0131429e-06	3.138234773855402e-05
8e-05	0.21790805	-1.7880229e-06	1.014899e-06	3.333146652471365e-05
8.5e-05	0.21850224	-2.1363811e-06	1.0167542e-06	3.5278336593079164e-05
9e-05	0.21913184	-2.5256396e-06	1.0187061e-06	3.722282557439402e-05
9.5e-05	0.21979675	-2.9576072e-06	1.0207519e-06	3.9164801511350434e-05
0.0001	0.22049687	-3.4340002e-06	1.0228889e-06	4.110413285560216e-05
0.000105	0.22123208	-3.9564397e-06	1.0251144e-06	4.304068856563083e-05
0.00011	0.22200225	-4.5264499e-06	1.0274254e-06	4.4974338150648684e-05
0.000115	0.22280726	-5.1454557e-06	1.0298189e-06	4.690495161391799e-05
0.00012	0.22364698	-5.8147813e-06	1.0322917e-06	4.8832399499824e-05
0.000125	0.22452125	-6.5356492e-06	1.0348409e-06	5.075655303965029e-05
0.00013	0.22542995	-7.3091788e-06	1.037463e-06	5.267728394255991e-05
0.000135	0.22637292	-8.1363864e-06	1.040155e-06	5.459446459598806e-05
0.00014	0.22735001	-9.0181846e-06	1.0429134e-06	5.6507968008807734e-05
0.000145	0.22836105	-9.9553826e-06	1.0457349e-06	5.8417667907633626e-05
0.00015	0.22940588	-1.0948686e-05	1.048616e-06	6.032343868053175e-05
0.000155	0.23048432	-1.1998699e-05	1.0515535e-06	6.222515547355965e-05
0.00016	0.23159621	-1.3105923e-05	1.0545437e-06	6.412269408483017e-05
0.000165	0.23274135	-1.427076e-05	1.0575834e-06	6.601593116268487e-05
0.00017	0.23391957	-1.5493512e-05	1.0606689e-06	6.790474404830751e-05
0.000175	0.23513066	-1.6774385e-05	1.0637969e-06	6.978901097388939e-05
0.00018	0.23637444	-1.8113489e-05	1.0669639e-06	7.166861090554507e-05
0.000185	0.2376507	-1.9510841e-05	1.0701664e-06	7.354342369143066e-05
0.00019	0.23895924	-2.0966367e-05	1.073401e-06	7.541333000621226e-05
0.000195	0.24029984	-2.2479903e-05	1.0766644e-06	7.72782114476671e-05
0.0002	0.24167228	-2.4051203e-05	1.079953e-06	7.913795053129468e-05
0.000205	0.24307635	-2.5679935e-05	1.0832636e-06	8.09924306357165e-05
0.00021	0.24451182	-2.7365686e-05	1.0865929e-06	8.284153609992345e-05
0.000215	0.24597846	-2.9107968e-05	1.0899376e-06	8.468515221858169e-05
0.00022	0.24747604	-3.0906217e-05	1.0932946e-06	8.652316523797863e-05
0.000225	0.24900432	-3.2759801e-05	1.0966605e-06	8.835546240250946e-05
0.00023	0.25056305	-3.4668017e-05	1.1000324e-06	9.018193200053504e-05
0.000235	0.25215198	-3.6630099e-05	1.1034072e-06	9.200246335970461e-05
0.00024	0.25377087	-3.8645219e-05	1.1067819e-06	9.381694679286335e-05
0.000245	0.25541946	-4.0712492e-05	1.1101536e-06	9.56252736954813e-05
0.00025	0.25709749	-4.2830979e-05	1.1135195e-06	9.742733654139093e-05
0.000255	0.2588047	-4.4999688e-05	1.1168767e-06	9.922302887902605e-05
0.00026	0.26054082	-4.7217581e-05	1.1202226e-06	0.0001010122453780948
0.000265	0.26230557	-4.9483574e-05	1.1235545e-06	0.00010279488187568584
0.00027	0.26409869	-5.1796543e-05	1.12687e-06	0.0001045708352718813
0.000275	0.2659199	-5.4155325e-05	1.1301664e-06	0.00010634000362766635
0.00028	0.26776891	-5.6558723e-05	1.1334416e-06	0.00010810228621127726
0.000285	0.26964543	-5.9005507e-05	1.136693e-06	0.00010985758349405657
0.00029	0.27154919	-6.149442e-05	1.1399186e-06	0.00011160579704673693
0.000295	0.27347989	-6.4024177e-05	1.1431162e-06	0.00011334682968779793
0.0003	0.27543724	-6.6593473e-05	1.1462836e-06	0.00011508058542948721
0.000305	0.27742093	-6.9200981e-05	1.1494191e-06	0.00011680696957505258
0.00031	0.27943066	-7.1845359e-05	1.1525206e-06	0.00011852588866462906
0.000315	0.28146614	-7.4525246e-05	1.1555863e-06	0.00012023725042231134
0.00032	0.28352706	-7.7239275e-05	1.1586146e-06	0.00012194096385428198
0.000325	0.2856131	-7.9986066e-05	1.1616038e-06	0.0001236369392955738
0.00033	0.28772396	-8.2764231e-05	1.1645524e-06	0.0001253250883063692
0.000335	0.28985932	-8.557238e-05	1.1674588e-06	0.00012700532377012325
0.00034	0.29201887	-8.8409119e-05	1.1703217e-06	0.00012867755984038187
0.000345	0.29420228	-9.1273054e-05	1.1731398e-06	0.00013034171203860138
0.00035	0.29640924	-9.4162792e-05	1.1759119e-06	0.00013199769715072632
0.000355	0.29863942	-9.7076943e-05	1.1786368e-06	0.00013364543332546492
0.00036	0.3008925	-0.00010001412	1.1813133e-06	0.00013528484002131938
0.000365	0.30316816	-0.00010297296	1.1839406e-06	0.00013691583800454522
0.00037	0.30546605	-0.00010595207	1.1865177e-06	0.00013853834949727602
