rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.64806338E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  4.99600888E-07
1.00000000E-09  1.64806338E-01  -3.60000000E-22  1.00000000E-06  2.20983179E-10  4.99600888E-07
1.00010000E-09  1.64806338E-01  -3.60108011E-22  1.00000000E-06  2.21005278E-10  4.99600888E-07
1.00060000E-09  1.64806338E-01  -3.60648389E-22  1.00000000E-06  2.21115769E-10  4.99600888E-07
1.00310000E-09  1.64806338E-01  -3.63358390E-22  1.00000000E-06  2.21668228E-10  4.99600888E-07
1.01560000E-09  1.64806338E-01  -3.77112196E-22  1.00000000E-06  2.24430518E-10  4.99600888E-07
1.07810000E-09  1.64806338E-01  -4.51107075E-22  1.00000000E-06  2.38241972E-10  4.99600888E-07
1.39060000E-09  1.64806338E-01  -9.68075381E-22  1.00000000E-06  3.07299238E-10  4.99600888E-07
2.95310000E-09  1.64806338E-01  -9.27122160E-21  1.00000000E-06  6.52585539E-10  4.99600888E-07
7.03247412E-09  1.64806338E-01  -1.25206515E-19  1.00000000E-06  1.55405878E-09  4.99600888E-07
2.00450691E-08  1.64806338E-01  -2.89951373E-18  1.00000000E-06  4.42962394E-09  4.99600888E-07
6.03949489E-08  1.64806340E-01  -7.93056900E-17  1.00000001E-06  1.33462704E-08  4.99600887E-07
1.67370754E-07  1.64806354E-01  -1.68787842E-15  1.00000007E-06  3.69861279E-08  4.99600885E-07
4.73779415E-07  1.64806467E-01  -3.82851714E-14  1.00000054E-06  1.04697288E-07  4.99600863E-07
1.03735493E-06  1.64806957E-01  -4.01867038E-13  1.00000258E-06  2.29237894E-07  4.99600769E-07
1.70680072E-06  1.64808013E-01  -1.78996640E-12  1.00000699E-06  3.77173691E-07  4.99600566E-07
2.46298768E-06  1.64809826E-01  -5.37869072E-12  1.00001456E-06  5.44277055E-07  4.99600217E-07
3.28656021E-06  1.64812550E-01  -1.27792322E-11  1.00002592E-06  7.26270155E-07  4.99599694E-07
4.16578389E-06  1.64816318E-01  -2.60229505E-11  1.00004165E-06  9.20559165E-07  4.99598970E-07
5.09256116E-06  1.64821252E-01  -4.75397838E-11  1.00006223E-06  1.12535380E-06  4.99598022E-07
6.06100408E-06  1.64827464E-01  -8.01419036E-11  1.00008815E-06  1.33935193E-06  4.99596829E-07
7.06663652E-06  1.64835055E-01  -1.27009636E-10  1.00011982E-06  1.56156329E-06  4.99595370E-07
8.10593651E-06  1.64844123E-01  -1.91679266E-10  1.00015765E-06  1.79120832E-06  4.99593628E-07
9.17605646E-06  1.64854758E-01  -2.78032289E-10  1.00020200E-06  2.02765639E-06  4.99591584E-07
1.02746426E-05  1.64867045E-01  -3.90285713E-10  1.00025324E-06  2.27038588E-06  4.99589224E-07
1.13997150E-05  1.64881066E-01  -5.32983355E-10  1.00031169E-06  2.51895760E-06  4.99586529E-07
1.25495817E-05  1.64896900E-01  -7.10987615E-10  1.00037770E-06  2.77299598E-06  4.99583487E-07
1.37227794E-05  1.64914621E-01  -9.29472022E-10  1.00045155E-06  3.03217581E-06  4.99580082E-07
1.49180285E-05  1.64934303E-01  -1.19391407E-09  1.00053354E-06  3.29621238E-06  4.99576300E-07
1.61341994E-05  1.64956014E-01  -1.51008843E-09  1.00062397E-06  3.56485400E-06  4.99572127E-07
1.73702869E-05  1.64979821E-01  -1.88406054E-09  1.00072310E-06  3.83787639E-06  4.99567552E-07
1.86253898E-05  1.65005791E-01  -2.32218024E-09  1.00083119E-06  4.11507814E-06  4.99562561E-07
1.98986949E-05  1.65033986E-01  -2.83107568E-09  1.00094850E-06  4.39627718E-06  4.99557143E-07
2.11894650E-05  1.65064467E-01  -3.41764771E-09  1.00107527E-06  4.68130814E-06  4.99551284E-07
