rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.15000000E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  1.41000000E-07
1.00000000E-09  1.15000000E-01  -3.60000000E-20  1.00000000E-06  3.77000000E-10  1.41000000E-07
1.00000000E-09  1.15000000E-01  -3.60000000E-20  1.00000000E-06  3.77000000E-10  1.41000000E-07
1.00000000E-09  1.15000000E-01  -3.61000000E-20  1.00000000E-06  3.77000000E-10  1.41000000E-07
1.00000000E-09  1.15000000E-01  -3.63000000E-20  1.00000000E-06  3.78000000E-10  1.41000000E-07
1.01000000E-09  1.15000000E-01  -3.76000000E-20  1.00000000E-06  3.82000000E-10  1.41000000E-07
1.05000000E-09  1.15000000E-01  -4.17000000E-20  1.00000000E-06  3.95000000E-10  1.41000000E-07
1.23000000E-09  1.15000000E-01  -6.67000000E-20  1.00000000E-06  4.63000000E-10  1.41000000E-07
1.57000000E-09  1.15000000E-01  -1.39000000E-19  1.00000000E-06  5.91000000E-10  1.41000000E-07
2.09000000E-09  1.15000000E-01  -3.28000000E-19  1.00000000E-06  7.87000000E-10  1.41000000E-07
2.97000000E-09  1.15000000E-01  -9.46000000E-19  1.00000000E-06  1.12000000E-09  1.41000000E-07
4.19000000E-09  1.15000000E-01  -2.65000000E-18  1.00000000E-06  1.58000000E-09  1.41000000E-07
5.93000000E-09  1.15000000E-01  -7.52000000E-18  1.00000000E-06  2.23000000E-09  1.41000000E-07
8.39000000E-09  1.15000000E-01  -2.13000000E-17  1.00000000E-06  3.16000000E-09  1.41000000E-07
2.07000000E-08  1.15000000E-01  -3.18000000E-16  1.00000000E-06  7.78000000E-09  1.41000000E-07
3.57000000E-08  1.15000000E-01  -1.64000000E-15  1.00000000E-06  1.35000000E-08  1.41000000E-07
6.10000000E-08  1.15000000E-01  -8.17000000E-15  1.00000000E-06  2.30000000E-08  1.41000000E-07
9.15000000E-08  1.15000000E-01  -2.75000000E-14  1.00000000E-06  3.44000000E-08  1.41000000E-07
1.34000000E-07  1.15000000E-01  -8.59000000E-14  1.00000000E-06  5.03000000E-08  1.41000000E-07
1.93000000E-07  1.15000000E-01  -2.57000000E-13  1.00000000E-06  7.26000000E-08  1.41000000E-07
2.88000000E-07  1.15000000E-01  -8.64000000E-13  1.00000000E-06  1.09000000E-07  1.41000000E-07
4.41000000E-07  1.15000000E-01  -3.09000000E-12  1.00000000E-06  1.66000000E-07  1.41000000E-07
6.86000000E-07  1.15000000E-01  -1.16000000E-11  1.00000000E-06  2.59000000E-07  1.41000000E-07
1.35000000E-06  1.15000000E-01  -8.88000000E-11  1.00000000E-06  5.09000000E-07  1.41000000E-07
2.10000000E-06  1.15000000E-01  -3.31000000E-10  1.00000000E-06  7.89000000E-07  1.41000000E-07
2.93000000E-06  1.15000000E-01  -9.03000000E-10  1.00000000E-06  1.10000000E-06  1.41000000E-07
3.83000000E-06  1.15000000E-01  -2.02000000E-09  1.00000000E-06  1.44000000E-06  1.41000000E-07
4.78000000E-06  1.15000000E-01  -3.94000000E-09  1.00000000E-06  1.80000000E-06  1.41000000E-07
5.79000000E-06  1.15000000E-01  -6.97000000E-09  1.00000000E-06  2.18000000E-06  1.41000000E-07
6.83000000E-06  1.15000000E-01  -1.15000000E-08  1.00000000E-06  2.57000000E-06  1.41000000E-07
7.92000000E-06  1.15000000E-01  -1.79000000E-08  1.00000000E-06  2.98000000E-06  1.41000000E-07
9.04000000E-06  1.15000000E-01  -2.66000000E-08  1.00000000E-06  3.40000000E-06  1.41000000E-07
1.02000000E-05  1.15000000E-01  -3.79000000E-08  1.00000000E-06  3.83000000E-06  1.41000000E-07
1.13000000E-05  1.15000000E-01  -5.19000000E-08  1.00000000E-06  4.26000000E-06  1.41000000E-07
1.24000000E-05  1.15000000E-01  -6.90000000E-08  1.00000000E-06  4.68000000E-06  1.41000000E-07
1.36000000E-05  1.15000000E-01  -8.95000000E-08  1.00000000E-06  5.10000000E-06  1.41000000E-07
1.47000000E-05  1.15000000E-01  -1.14000000E-07  1.00000000E-06  5.53000000E-06  1.41000000E-07
1.58000000E-05  1.15000000E-01  -1.42000000E-07  1.00000000E-06  5.95000000E-06  1.41000000E-07
1.69000000E-05  1.15000000E-01  -1.74000000E-07  1.00000000E-06  6.38000000E-06  1.41000000E-07
1.81000000E-05  1.15000000E-01  -2.12000000E-07  1.00000000E-06  6.80000000E-06  1.41000000E-07
1.92000000E-05  1.15000000E-01  -2.54000000E-07  1.00000000E-06  7.22000000E-06  1.41000000E-07
2.03000000E-05  1.15000000E-01  -3.01000000E-07  1.00000000E-06  7.65000000E-06  1.41000000E-07
2.14000000E-05  1.15000000E-01  -3.54000000E-07  1.00000000E-06  8.07000000E-06  1.41000000E-07
2.26000000E-05  1.15000000E-01  -4.12000000E-07  1.00000000E-06  8.49000000E-06  1.41000000E-07
2.37000000E-05  1.15000000E-01  -4.77000000E-07  1.00000000E-06  8.92000000E-06  1.41000000E-07
2.48000000E-05  1.15000000E-01  -5.48000000E-07  1.00000000E-06  9.34000000E-06  1.41000000E-07
2.59000000E-05  1.15000000E-01  -6.26000000E-07  1.00000000E-06  9.76000000E-06  1.41000000E-07
2.71000000E-05  1.15000000E-01  -7.10000000E-07  1.00000000E-06  1.02000000E-05  1.41000000E-07
2.82000000E-05  1.15000000E-01  -8.02000000E-07  1.00000000E-06  1.06000000E-05  1.41000000E-07
2.93000000E-05  1.16000000E-01  -9.02000000E-07  1.00000000E-06  1.10000000E-05  1.41000000E-07
3.04000000E-05  1.16000000E-01  -1.01000000E-06  1.00000000E-06  1.15000000E-05  1.41000000E-07
3.16000000E-05  1.16000000E-01  -1.13000000E-06  1.00000000E-06  1.19000000E-05  1.41000000E-07
3.27000000E-05  1.16000000E-01  -1.25000000E-06  1.00000000E-06  1.23000000E-05  1.41000000E-07
3.38000000E-05  1.16000000E-01  -1.38000000E-06  1.00000000E-06  1.27000000E-05  1.41000000E-07
3.49000000E-05  1.16000000E-01  -1.52000000E-06  1.00000000E-06  1.32000000E-05  1.41000000E-07
3.61000000E-05  1.16000000E-01  -1.68000000E-06  1.00000000E-06  1.36000000E-05  1.41000000E-07
3.72000000E-05  1.16000000E-01  -1.84000000E-06  1.00000000E-06  1.40000000E-05  1.41000000E-07
3.83000000E-05  1.16000000E-01  -2.01000000E-06  1.00000000E-06  1.44000000E-05  1.41000000E-07
3.94000000E-05  1.16000000E-01  -2.19000000E-06  1.00000000E-06  1.48000000E-05  1.41000000E-07
4.06000000E-05  1.16000000E-01  -2.38000000E-06  1.00000000E-06  1.53000000E-05  1.41000000E-07
4.17000000E-05  1.16000000E-01  -2.58000000E-06  1.00000000E-06  1.57000000E-05  1.41000000E-07
4.28000000E-05  1.16000000E-01  -2.80000000E-06  1.00000000E-06  1.61000000E-05  1.41000000E-07
4.39000000E-05  1.16000000E-01  -3.02000000E-06  1.00000000E-06  1.65000000E-05  1.41000000E-07
4.51000000E-05  1.16000000E-01  -3.26000000E-06  1.00000000E-06  1.70000000E-05  1.41000000E-07
4.62000000E-05  1.16000000E-01  -3.51000000E-06  1.01000000E-06  1.74000000E-05  1.41000000E-07
4.73000000E-05  1.16000000E-01  -3.77000000E-06  1.01000000E-06  1.78000000E-05  1.41000000E-07
4.84000000E-05  1.16000000E-01  -4.04000000E-06  1.01000000E-06  1.82000000E-05  1.41000000E-07
4.96000000E-05  1.16000000E-01  -4.33000000E-06  1.01000000E-06  1.87000000E-05  1.41000000E-07
5.07000000E-05  1.16000000E-01  -4.63000000E-06  1.01000000E-06  1.91000000E-05  1.41000000E-07
5.18000000E-05  1.16000000E-01  -4.94000000E-06  1.01000000E-06  1.95000000E-05  1.41000000E-07
5.29000000E-05  1.16000000E-01  -5.27000000E-06  1.01000000E-06  1.99000000E-05  1.41000000E-07
5.41000000E-05  1.16000000E-01  -5.61000000E-06  1.01000000E-06  2.04000000E-05  1.41000000E-07
5.52000000E-05  1.16000000E-01  -5.96000000E-06  1.01000000E-06  2.08000000E-05  1.41000000E-07
5.63000000E-05  1.17000000E-01  -6.33000000E-06  1.01000000E-06  2.12000000E-05  1.41000000E-07
5.75000000E-05  1.17000000E-01  -6.72000000E-06  1.01000000E-06  2.16000000E-05  1.40000000E-07
5.86000000E-05  1.17000000E-01  -7.12000000E-06  1.01000000E-06  2.21000000E-05  1.40000000E-07
5.97000000E-05  1.17000000E-01  -7.53000000E-06  1.01000000E-06  2.25000000E-05  1.40000000E-07
6.09000000E-05  1.17000000E-01  -7.96000000E-06  1.01000000E-06  2.29000000E-05  1.40000000E-07
6.20000000E-05  1.17000000E-01  -8.41000000E-06  1.01000000E-06  2.33000000E-05  1.40000000E-07
6.31000000E-05  1.17000000E-01  -8.87000000E-06  1.01000000E-06  2.38000000E-05  1.40000000E-07
6.42000000E-05  1.17000000E-01  -9.35000000E-06  1.01000000E-06  2.42000000E-05  1.40000000E-07
6.54000000E-05  1.17000000E-01  -9.84000000E-06  1.01000000E-06  2.46000000E-05  1.40000000E-07
6.65000000E-05  1.17000000E-01  -1.04000000E-05  1.01000000E-06  2.50000000E-05  1.40000000E-07
6.76000000E-05  1.17000000E-01  -1.09000000E-05  1.01000000E-06  2.55000000E-05  1.40000000E-07
6.88000000E-05  1.17000000E-01  -1.14000000E-05  1.01000000E-06  2.59000000E-05  1.40000000E-07
6.99000000E-05  1.17000000E-01  -1.20000000E-05  1.01000000E-06  2.63000000E-05  1.40000000E-07
7.10000000E-05  1.17000000E-01  -1.26000000E-05  1.01000000E-06  2.67000000E-05  1.40000000E-07
7.22000000E-05  1.17000000E-01  -1.32000000E-05  1.01000000E-06  2.72000000E-05  1.40000000E-07
7.33000000E-05  1.18000000E-01  -1.38000000E-05  1.01000000E-06  2.76000000E-05  1.40000000E-07
7.44000000E-05  1.18000000E-01  -1.44000000E-05  1.01000000E-06  2.80000000E-05  1.40000000E-07
7.56000000E-05  1.18000000E-01  -1.51000000E-05  1.01000000E-06  2.84000000E-05  1.40000000E-07
7.67000000E-05  1.18000000E-01  -1.58000000E-05  1.01000000E-06  2.89000000E-05  1.40000000E-07
7.79000000E-05  1.18000000E-01  -1.64000000E-05  1.01000000E-06  2.93000000E-05  1.40000000E-07
7.90000000E-05  1.18000000E-01  -1.72000000E-05  1.01000000E-06  2.97000000E-05  1.40000000E-07
8.01000000E-05  1.18000000E-01  -1.79000000E-05  1.01000000E-06  3.01000000E-05  1.40000000E-07
